month,precipitation_mm,hist_mean_mm,stdev_hist_mm
2018-10,30.04,81.0067,37.7022
2018-11,24.79,78.221,24.6453
2018-12,104.35,91.061,37.3262
2019-01,93.43,84.9467,42.0869
2019-02,45.04,71.848,38.2315
2019-03,98.24,78.902,36.3833
2019-04,39.12,61.535,32.9998
2019-05,73.22,75.0977,34.8745
2019-06,69.81,81.7337,34.5557
2019-07,43.28,81.576,36.3886
2019-08,54.39,84.272,47.8555
2019-09,48.88,76.36,43.2947
2019-10,97.38,81.0067,37.7022
2019-11,60.79,78.221,24.6453
2019-12,90.19,91.061,37.3262
2020-01,49.87,84.9467,42.0869
2020-02,154,71.848,38.2315
2020-03,90.51,78.902,36.3833
2020-04,24.68,61.535,32.9998
2020-05,22.12,75.0977,34.8745
